JYCSM-WB-059	Jatiya Yuva Computer Shaksharta Mission,Khurigachi	Krishnadas Paul	Khurigachi,58 Gate Bus Stop,Shyampur,711315	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-060	Printneed Computer	Kusum Debnath	Bijoypally,Bhawanipur, Kharagpur,721301	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-061	Jatiya Yuva Computer Shaksharata Mission,Ankro	Arjun Mahato	Ankro,Boro,723129	Purulia	West Bengal	All Type Of Computer Courses
JYCSM-WB-062	Institute of Vocational and Technical Education	Sujay Mondal	Diamond Harbour,743331	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-063	Subhasgram Jatiya Yuva Computer Shaksharta Mission	Sourav Chakraborty	199, R N C Road(West),Subhasgram,Sonarpur,700147	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-OD-064	Afroz IT Solution	Mohammed Afroz Khan	Kumbharpada,Near Urdu School,768001	Sambalpur	Odisha	All Type Of Computer Courses
JYCSM-WB-065	Jatiya Yuva Computer Shaksharata Mission,Balarampur	Subrata Das	Borgachia, Balarampur,NearHigh School,742165	Murshidabad	West Bengal	All Type Of Computer Courses
JYCSM-WB-066	Jatiya Yuva Computer Shaksharta Mission,Kenjakura	Somnath Maji	Kenjakura,722139	Bankura	West Bengal	All Type Of Computer Courses
JYCSM-AS-067	Jatiya Yuva Computer Shaksharta Mission,Fakirganj	Shirazul Hoque	Borkalia Shershow,Fakirganj,783330	Dhubri	Assam	All Type Of Computer Courses
JYCSM-WB-068	Cyfie Academy	Kalyan Mondal	Katwa Subodh Smriti Road,Near Sriram Complex. 713130	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-069	Nath Computer Training Centre	Arghya Nath	Paschim Nischintapur,Purba Nischintapur,Budge Budge,700138	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-070	Pragati Computer Center	Himanish Barman	Belakoba College Road,Prasannanagar,Rajganj,735133	Jalpaiguri	West Bengal	All Type Of University Courses
JYCSM-WB-071	Jatiya Yuva Computer Shaksharata Mission,Chapra	Rajesh Biswas	Chapra,741123	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-WB-072	Jatiya Yuva Computer Shaksharata Mission,Nayarhat	Moumita Khatun	Nayarhat main Road,Bhabani Prosad,736135,	Cooch Behar	West Bengal	All Type Of Computer Courses
JYCSM-WB-073	Alordisha Computer	Iyayut Khan	Narayanpur,731223	Birbhum	West Bengal	All Type Of Computer Courses
JYCSM-WB-074	Haripur Jatiya Yuva Computer Shaksharata Mission	Sankar Bhunia	Haripur,Belda,721443	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-075	Deep Computer Training Institute	Samir Kumar Adhikary	Chak-kamala,Deulty,Bagnan,711303	Howrah	West Bengal	All Type Of Computer Courses
